Date,Time,Journey,Charge (GBP),Capped,Notes
02/03/2020,08:24 - 08:57,Canada Water to Victoria (London Underground),-2.90,N,
02/03/2020,18:38 - 18:58,Victoria (London Underground) to Canada Water,-2.90,N,
03/03/2020,08:37 - 09:03,Canada Water to Victoria (London Underground),-2.90,N,
03/03/2020,19:13 - 19:36,Victoria (London Underground) to Canada Water,-2.40,N,
05/03/2020,13:20 - 13:38,Canada Water to Victoria (London Underground),-2.40,N,
05/03/2020,18:48 - 19:20,Victoria (London Underground) to Canada Water,-2.90,N,
06/03/2020,08:22 - 08:44,Canada Water to Victoria (London Underground),-2.90,N,
06/03/2020,18:51 - 19:16,Victoria (London Underground) to Canada Water,-2.90,N,
06/03/2020,23:39 - 23:51,Canada Water to Shoreditch High Street,-1.40,Y,
07/03/2020,12:01 - 12:17,Canada Water to Westminster,-2.40,N,
07/03/2020,16:59 - 17:38,Ladbroke Grove to Canada Water,-2.40,N,
07/03/2020,00:25 - 00:41,Canada Water to Bond Street,-2.40,N,
07/03/2020,03:15 - 03:38,Bond Street to Canada Water,0.00,Y,
08/03/2020,12:13 - 12:42,Canada Water to Camden Town,-2.40,N,
08/03/2020,14:37 - 15:01,Kings Cross St Pancras (Underground) to Tower Hill,-2.40,N,
08/03/2020,15:38 - 16:05,Tower Hill to Canada Water,-0.50,Y,
09/03/2020,08:41 - 09:02,Canada Water to Victoria (London Underground),-2.90,N,
09/03/2020,14:13 - 14:41,Victoria (London Underground) to Canada Water,-2.40,N,
17/03/2020,17:24 - 17:33,Canada Water to London Bridge (London Underground),-2.40,N,
17/03/2020,20:46 - 21:07,Borough to Tottenham Court Road,-2.40,N,
02/02/2020,14:25 - 14:48,Liverpool Street (London Underground) to Canada Water,-2.40,N,
03/02/2020,08:39 - 09:09,Canada Water to Victoria (London Underground),-2.90,N,
03/02/2020,18:59 - 19:21,Victoria (London Underground) to Canada Water,-2.40,N,
04/02/2020,08:18 - 08:56,Canada Water to Victoria (London Underground),-2.90,N,
04/02/2020,18:12 - 18:35,Victoria (London Underground) to Canada Water,-2.90,N,
05/02/2020,08:29 - 08:57,Canada Water to Victoria (London Underground),-2.90,N,
05/02/2020,20:09 - 20:34,Covent Garden to Canada Water,-2.40,N,
06/02/2020,08:45 - 09:30,Canada Water to Victoria (London Underground),-2.90,N,
06/02/2020,19:05 - 20:00,Victoria (London Underground) to Canada Water,-2.40,N,
07/02/2020,09:31 - 09:55,Canada Water to Victoria (London Underground),-2.40,N,
07/02/2020,20:25 - 20:46,Victoria (London Underground) to Canada Water,-2.40,N,
08/02/2020,15:23 - 15:49,Canada Water to Paddington (London Underground),-2.40,N,
08/02/2020,20:32 - 20:57,Paddington (London Underground) to Canada Water,-2.40,N,
10/02/2020,08:33 - 09:13,Canada Water to Victoria (London Underground),-2.90,N,
10/02/2020,21:03 - 21:25,Pimlico to Canada Water,-2.40,N,
11/02/2020,08:26 - 08:50,Canada Water to Victoria (London Underground),-2.90,N,
11/02/2020,12:02 - 12:22,Victoria (London Underground) to Canada Water,-2.40,N,
12/02/2020,08:25 - 08:52,Canada Water to Victoria (London Underground),-2.90,N,
12/02/2020,20:12 - 20:37,Covent Garden to Canada Water,-2.40,N,
13/02/2020,08:38 - 09:11,Canada Water to Victoria (London Underground),-2.90,N,
13/02/2020,19:44 - 20:05,Victoria (London Underground) to Canada Water,-2.40,N,
14/02/2020,10:33 - 10:57,Canada Water to Kings Cross St Pancras (Underground),-2.40,N,
17/02/2020,15:48 - 16:02,Kings Cross St Pancras (Underground) to Victoria (London Underground),-2.40,N,
17/02/2020,19:00 - 19:20,Victoria (London Underground) to Canada Water,-2.40,N,
18/02/2020,08:34 - 09:03,Canada Water to Victoria (London Underground),-2.90,N,
18/02/2020,18:14 - 18:39,Victoria (London Underground) to Canada Water,-2.90,N,
19/02/2020,09:28 - 09:47,Canada Water to Victoria (London Underground),-2.40,N,
19/02/2020,19:20 - 19:40,Victoria (London Underground) to Canada Water,-2.40,N,
20/02/2020,08:30 - 08:58,Canada Water to Victoria (London Underground),-2.90,N,
20/02/2020,19:50 - 20:12,Victoria (London Underground) to Canada Water,-2.40,N,
21/02/2020,08:43 - 09:02,Canada Water to Victoria (London Underground),-2.90,N,
21/02/2020,19:49 - 20:17,Victoria (London Underground) to Canada Water,-2.40,N,
22/02/2020,16:17 - 16:46,Canada Water to Stratford,-1.50,N,
22/02/2020,19:36 - 20:03,Stratford to Canada Water,-1.50,N,
24/02/2020,08:16 - 08:39,Canada Water to Victoria (London Underground),-2.90,N,
24/02/2020,18:59 - 19:35,Victoria (London Underground) to Canada Water,-2.40,N,
25/02/2020,09:00 - 09:21,Canada Water to Victoria (London Underground),-2.90,N,
25/02/2020,18:27 - 18:54,Victoria (London Underground) to Canada Water,-2.90,N,
26/02/2020,08:40 - 09:08,Canada Water to Kings Cross St Pancras (Underground),-2.90,N,
26/02/2020,12:15 - 12:41,Kings Cross St Pancras (Underground) to Canada Water,-2.40,N,
26/02/2020,14:12 - 14:41,Canada Water to Kings Cross St Pancras (Underground),-1.90,Y,
26/02/2020,18:19 - 18:46,Kings Cross St Pancras (Underground) to Canada Water,0.00,Y,
27/02/2020,09:04 - 09:27,Canada Water to Victoria (London Underground),-2.90,N,
27/02/2020,21:07 - 21:32,Victoria (London Underground) to Canada Water,-2.40,N,
28/02/2020,09:00 - 09:24,Canada Water to Victoria (London Underground),-2.90,N,
28/02/2020,19:51 - 20:03,Victoria (London Underground) to Kings Cross St Pancras (Underground),-2.40,N,
28/02/2020,23:01 - 23:31,Kings Cross St Pancras (Underground) to Canada Water,-1.90,Y,
13/01/2020,08:59 - 09:26,Canada Water to Victoria (London Underground),-2.90,N,
13/01/2020,19:33 - 19:53,Victoria (London Underground) to Canada Water,-2.40,N,
14/01/2020,08:42 - 09:07,Canada Water to Victoria (London Underground),-2.90,N,
14/01/2020,19:36 - 20:10,Victoria (London Underground) to Canada Water,-2.40,N,
15/01/2020,08:22 - 08:39,Canada Water to Green Park,-2.90,N,
15/01/2020,09:32 - 09:38,Green Park to Victoria (London Underground),-2.40,N,
15/01/2020,20:08 - 20:33,Covent Garden to Canada Water,-1.90,Y,
16/01/2020,08:56 - 09:20,Canada Water to Victoria (London Underground),-2.90,N,
16/01/2020,19:45 - 20:06,Victoria (London Underground) to Canada Water,-2.40,N,
17/01/2020,08:54 - 09:17,Canada Water to Victoria (London Underground),-2.90,N,
17/01/2020,19:06 - 19:42,Victoria (London Underground) to Canada Water,-2.40,N,
18/01/2020,18:28 - 18:50,Canada Water to Oval,-2.40,N,
20/01/2020,09:13 - 09:44,Canada Water to Victoria (London Underground),-2.90,N,
20/01/2020,19:20 - 19:42,Victoria (London Underground) to Canada Water,-2.40,N,
21/01/2020,08:53 - 09:19,Canada Water to Victoria (London Underground),-2.90,N,
21/01/2020,19:53 - 20:15,Victoria (London Underground) to Canada Water,-2.40,N,
22/01/2020,09:14 - 09:37,Canada Water to Victoria (London Underground),-2.90,N,
